start_time=2020/03/07 01:25:40, frame_rate=30.0, frame_period=0.03333333333333333, n_frames=2736, n_seconds=91.2, total_time=01:31.20
frame_index, time, color_counter
0, 00:00.00, 0
933, 00:31.09, 896
934, 00:31.13, 194
935, 00:31.16, 249
944, 00:31.46, 111
945, 00:31.50, 12
950, 00:31.66, 136
951, 00:31.69, 1377
952, 00:31.73, 4635
953, 00:31.76, 112
957, 00:31.89, 1552
958, 00:31.93, 312
980, 00:32.66, 4
983, 00:32.76, 2619
1069, 00:35.63, 12139
1070, 00:35.66, 9149
1071, 00:35.70, 1393
1072, 00:35.73, 1832
1073, 00:35.76, 1215
1074, 00:35.79, 253
1078, 00:35.93, 359
1093, 00:36.43, 45
1095, 00:36.50, 1217
1096, 00:36.53, 6590
1097, 00:36.56, 67
1098, 00:36.60, 232
1103, 00:36.76, 20
1105, 00:36.83, 320
1106, 00:36.86, 4771
1107, 00:36.89, 6613
1108, 00:36.93, 8616
1109, 00:36.96, 3265
1110, 00:37.00, 1197
1111, 00:37.03, 879
1112, 00:37.06, 432
1113, 00:37.10, 514
1114, 00:37.13, 874
1115, 00:37.16, 543
1116, 00:37.20, 4629
1117, 00:37.23, 3286
1118, 00:37.26, 72
1125, 00:37.50, 448
1126, 00:37.53, 186
1128, 00:37.60, 4360
1129, 00:37.63, 11760
1130, 00:37.66, 3698
1131, 00:37.70, 4298
1132, 00:37.73, 2108
1133, 00:37.76, 3358
1134, 00:37.79, 1984
1135, 00:37.83, 176
1136, 00:37.86, 1193
1137, 00:37.89, 155
1138, 00:37.93, 405
1139, 00:37.96, 845
1140, 00:38.00, 624
1141, 00:38.03, 120
1142, 00:38.06, 41
1143, 00:38.10, 153
1145, 00:38.16, 837
1146, 00:38.20, 113
1147, 00:38.23, 2096
1148, 00:38.26, 922
1149, 00:38.29, 1235
1150, 00:38.33, 7143
1151, 00:38.36, 1198
1152, 00:38.39, 1172
1153, 00:38.43, 1291
1154, 00:38.46, 4125
1155, 00:38.50, 1640
1156, 00:38.53, 771
1157, 00:38.56, 1400
1158, 00:38.60, 1816
1159, 00:38.63, 1067
1160, 00:38.66, 561
1161, 00:38.70, 542
1164, 00:38.79, 2
1165, 00:38.83, 71
1166, 00:38.86, 1572
1167, 00:38.89, 2027
1168, 00:38.93, 11736
1169, 00:38.96, 12668
1170, 00:39.00, 11477
1171, 00:39.03, 8342
1172, 00:39.06, 232
1173, 00:39.10, 1612
1175, 00:39.16, 255
1176, 00:39.20, 1405
1177, 00:39.23, 2606
1178, 00:39.26, 3373
1179, 00:39.29, 12263
1180, 00:39.33, 13899
1181, 00:39.36, 15515
1182, 00:39.39, 11704
1183, 00:39.43, 11869
1184, 00:39.46, 6107
1185, 00:39.50, 3626
1186, 00:39.53, 6311
1187, 00:39.56, 3426
1188, 00:39.60, 11098
1189, 00:39.63, 3720
1190, 00:39.66, 3149
1191, 00:39.70, 5537
1192, 00:39.73, 11440
1193, 00:39.76, 11517
1194, 00:39.79, 6730
1195, 00:39.83, 10999
1196, 00:39.86, 11517
1197, 00:39.89, 11462
1198, 00:39.93, 12506
1199, 00:39.96, 14518
1200, 00:40.00, 13427
1201, 00:40.03, 15305
1202, 00:40.06, 13886
1203, 00:40.10, 11959
1204, 00:40.13, 14405
1205, 00:40.16, 16457
1206, 00:40.20, 15707
1207, 00:40.23, 15838
1208, 00:40.26, 14992
1209, 00:40.29, 13052
1210, 00:40.33, 12564
1211, 00:40.36, 12609
1212, 00:40.39, 14609
1213, 00:40.43, 13671
1214, 00:40.46, 13512
1215, 00:40.50, 13898
1216, 00:40.53, 12074
1217, 00:40.56, 12441
1218, 00:40.60, 12905
1219, 00:40.63, 13757
1220, 00:40.66, 11972
1221, 00:40.70, 10458
1222, 00:40.73, 11404
1223, 00:40.76, 3679
1224, 00:40.79, 1686
1225, 00:40.83, 10290
1226, 00:40.86, 7063
1227, 00:40.89, 11197
1228, 00:40.93, 10156
1229, 00:40.96, 11510
1230, 00:41.00, 13046
1231, 00:41.03, 11268
1232, 00:41.06, 12955
1233, 00:41.10, 11857
1234, 00:41.13, 368
1235, 00:41.16, 7805
1236, 00:41.20, 973
1237, 00:41.23, 5997
1238, 00:41.26, 10341
1239, 00:41.29, 2209
1241, 00:41.36, 5168
1242, 00:41.39, 1468
1243, 00:41.43, 3058
1244, 00:41.46, 295
1246, 00:41.53, 214
1247, 00:41.56, 164
1248, 00:41.60, 238
1249, 00:41.63, 234
1250, 00:41.66, 63
1252, 00:41.73, 1253
1253, 00:41.76, 1459
1260, 00:42.00, 34
1261, 00:42.03, 340
1262, 00:42.06, 445
1263, 00:42.10, 2344
1264, 00:42.13, 2832
1265, 00:42.16, 1122
1266, 00:42.20, 981
1267, 00:42.23, 331
1268, 00:42.26, 658
1269, 00:42.29, 461
1270, 00:42.33, 853
1271, 00:42.36, 283
1274, 00:42.46, 203
1275, 00:42.50, 5552
1276, 00:42.53, 13196
1277, 00:42.56, 16293
1278, 00:42.60, 15017
1279, 00:42.63, 6014
1280, 00:42.66, 4887
1281, 00:42.70, 3675
1282, 00:42.73, 1702
1283, 00:42.76, 761
1284, 00:42.79, 10393
1285, 00:42.83, 11046
1286, 00:42.86, 11892
1287, 00:42.89, 11740
1288, 00:42.93, 12215
1289, 00:42.96, 10273
1290, 00:43.00, 9306
1291, 00:43.03, 729
1319, 00:43.96, 3931
1320, 00:44.00, 6269
1321, 00:44.03, 2846
1322, 00:44.06, 586
1323, 00:44.10, 2128
1324, 00:44.13, 2514
1325, 00:44.16, 2754
1326, 00:44.20, 3342
1327, 00:44.23, 2965
1328, 00:44.26, 3958
1329, 00:44.29, 1860
1334, 00:44.46, 245
1335, 00:44.50, 571
1337, 00:44.56, 1082
1338, 00:44.60, 1631
1351, 00:45.03, 514
1366, 00:45.53, 21
1369, 00:45.63, 121
1394, 00:46.46, 514
1395, 00:46.50, 198
1396, 00:46.53, 2312
1397, 00:46.56, 3294
1398, 00:46.60, 2251
1399, 00:46.63, 1236
1400, 00:46.66, 77
1401, 00:46.70, 901
1402, 00:46.73, 636
1403, 00:46.76, 6966
1404, 00:46.79, 13564
1405, 00:46.83, 816
1406, 00:46.86, 2332
1407, 00:46.89, 484
1408, 00:46.93, 220
1409, 00:46.96, 117
1410, 00:47.00, 671
1411, 00:47.03, 942
1412, 00:47.06, 3748
1413, 00:47.10, 8939
1414, 00:47.13, 11706
1415, 00:47.16, 13560
1416, 00:47.20, 13878
1417, 00:47.23, 13522
1418, 00:47.26, 14865
1419, 00:47.29, 12835
1420, 00:47.33, 10900
1421, 00:47.36, 16831
1422, 00:47.39, 5009
1423, 00:47.43, 7028
1426, 00:47.53, 2029
1427, 00:47.56, 14496
1428, 00:47.60, 3884
1429, 00:47.63, 10928
1430, 00:47.66, 9220
1431, 00:47.70, 4404
1432, 00:47.73, 444
1433, 00:47.76, 136
1434, 00:47.79, 157
1435, 00:47.83, 80
1436, 00:47.86, 2021
1437, 00:47.89, 4755
1438, 00:47.93, 916
1439, 00:47.96, 515
1440, 00:48.00, 297
1441, 00:48.03, 252
1444, 00:48.13, 187
1460, 00:48.66, 8
1461, 00:48.70, 34
1472, 00:49.06, 17
1475, 00:49.16, 2010
1476, 00:49.20, 1395
1477, 00:49.23, 2557
1478, 00:49.26, 255
1479, 00:49.29, 92
1480, 00:49.33, 1275
1481, 00:49.36, 723
1483, 00:49.43, 100
1495, 00:49.83, 1678
1496, 00:49.86, 552
1504, 00:50.13, 6
1510, 00:50.33, 2344
1533, 00:51.10, 376
1549, 00:51.63, 1211
1550, 00:51.66, 514
1552, 00:51.73, 1171
1559, 00:51.96, 658
1580, 00:52.66, 616
1583, 00:52.76, 2384
1584, 00:52.79, 103
1589, 00:52.96, 5
1601, 00:53.36, 510
1603, 00:53.43, 139
1604, 00:53.46, 925
1606, 00:53.53, 4002
1607, 00:53.56, 4909
1608, 00:53.60, 6528
1609, 00:53.63, 14238
1610, 00:53.66, 14123
1611, 00:53.69, 16110
1612, 00:53.73, 13760
1613, 00:53.76, 10154
1614, 00:53.79, 7590
1615, 00:53.83, 8232
1616, 00:53.86, 7549
1617, 00:53.89, 9534
1618, 00:53.93, 11702
1619, 00:53.96, 13718
1620, 00:54.00, 12906
1621, 00:54.03, 9129
1622, 00:54.06, 10459
1623, 00:54.10, 6603
1624, 00:54.13, 12216
1625, 00:54.16, 16482
1626, 00:54.19, 14322
1627, 00:54.23, 16886
1628, 00:54.26, 18776
1629, 00:54.29, 14425
1630, 00:54.33, 13647
1631, 00:54.36, 14485
1632, 00:54.39, 14816
1633, 00:54.43, 15475
1634, 00:54.46, 15305
1635, 00:54.50, 15919
1636, 00:54.53, 17166
1637, 00:54.56, 16005
1638, 00:54.60, 16509
1639, 00:54.63, 17053
1640, 00:54.66, 16759
1641, 00:54.69, 16627
1642, 00:54.73, 17123
1643, 00:54.76, 16558
1644, 00:54.79, 16684
1645, 00:54.83, 16975
1646, 00:54.86, 17332
1647, 00:54.89, 17555
1648, 00:54.93, 18466
1649, 00:54.96, 17918
1650, 00:55.00, 17627
1651, 00:55.03, 16778
1652, 00:55.06, 16703
1653, 00:55.10, 17447
1654, 00:55.13, 17092
1655, 00:55.16, 16837
1656, 00:55.19, 15411
1657, 00:55.23, 15445
1658, 00:55.26, 15113
1659, 00:55.29, 14324
1660, 00:55.33, 12005
1661, 00:55.36, 14082
1662, 00:55.39, 14679
1663, 00:55.43, 14554
1664, 00:55.46, 15732
1665, 00:55.50, 13882
1666, 00:55.53, 18272
1667, 00:55.56, 14992
1668, 00:55.60, 5804
1669, 00:55.63, 10560
1670, 00:55.66, 12146
1671, 00:55.69, 8371
1672, 00:55.73, 10303
1673, 00:55.76, 6587
1674, 00:55.79, 4104
1675, 00:55.83, 6829
1676, 00:55.86, 999
1677, 00:55.89, 56
1678, 00:55.93, 444
1679, 00:55.96, 526
1680, 00:56.00, 1768
1681, 00:56.03, 5567
1682, 00:56.06, 7474
1683, 00:56.10, 1665
1686, 00:56.19, 681
1689, 00:56.29, 39
1692, 00:56.39, 50
1694, 00:56.46, 1164
1738, 00:57.93, 2869
1743, 00:58.10, 5005
1812, 01:00.39, 21
1936, 01:04.53, 1726
1938, 01:04.59, 1777
1939, 01:04.63, 35
1940, 01:04.66, 2
1965, 01:05.50, 30
1977, 01:05.90, 60
1978, 01:05.93, 4
